plesalec,plesalka,drzava,kategorija,idplesalca
Evgeny Zarubanov,Daria Meskeva,Russian Federation,Junior I,Evgeny_Zarubanov-7cebc2c4-d737-4c0e-8f45-a5d100f7b09c
Damir Davletshin,Polina Kalinina,Russian Federation,Youth,Damir_Davletshin-1aaa231a-8ea5-4e2f-8ae1-a5d100f8dcc9
Maxim Baydin,Valeria Yuzhakova,Russian Federation,Youth,Maxim_Baydin-5e3f6ffd-5171-4e8d-a6c8-a5d100f95938
Vladimir Arkhipov,Sofia Diakova,Russian Federation,Junior I,Vladimir_Arkhipov-89c9444e-1c27-41c2-8d1f-a5d100ff94d5
Oleg Vechkasov,Irina Samodanova,Russian Federation,Senior I,Oleg_Vechkasov-759973b9-dbef-4c0f-923d-a5d10103c886
Daniil Pechenkin,Elena Grishina,Russian Federation,Junior I,Daniil_Pechenkin-b85dd3be-34da-4fbf-9f21-a5d1010fce4b
Anton Yakovlev,Tatiana Popova,Russian Federation,Juvenile II,Anton_Yakovlev-f1322052-f415-4173-b6b1-a5d101104926
Denis Kokin,Inna Nedelcho,Russian Federation,Junior II,Denis_Kokin-94c5f9c5-dea4-417e-8e9f-a5d101112e96
Adrian Ionut Iosipescu,Andra Maria Sava,Romania,Youth,Adrian_Ionut_Iosipescu-658f3837-681a-496e-8401-a5d10115e340
Oleksii Adamovych,Yana Borysovska,Ukraine,Youth,Oleksii_Adamovych-d054ecca-af5e-4e38-911c-a5d10123442e
Ihor Parubets,Mariia Shmelova,Ukraine,Adult,Ihor_Parubets-e4c03ceb-d9d1-44d0-9fab-a5d101257191
Razmik Papian,Olha Romanenko,Ukraine,Adult,Razmik_Papian-2edbcd8c-a9b4-47dd-ad5e-a5d10137c23e
Danyil Kravchenko,Karyna Burylina,Ukraine,Adult,Danyil_Kravchenko-16c393b2-0c89-4d5d-8b46-a5d1013844dd
Rustam Abdrakhmanov,Daria Zolotareva,Russian Federation,Youth,Rustam_Abdrakhmanov-1a36b76c-6ab6-4283-b9e1-a51e016089fa
Diogo Costa,Catarina Costa,Portugal,Youth,Diogo_Costa-170b3de6-c130-4c5a-8a11-a51800f99bbc
Danila Shliakhov,Yana Masharova,Russian Federation,Youth,Danila_Shliakhov-aa11e141-2b27-4ffb-b771-a52c00daebc9
Dmitry Larin,Olga Kunafina,Russian Federation,Youth,Dmitry_Larin-26bc9c58-afd1-497c-bfaa-a302016ac912
Gleb Yukhimenko,Veronika Fokeeva,Russian Federation,Junior II,Gleb_Yukhimenko-d06a16f8-cfb1-4c76-8d2d-a35100021e3c
Alexey Sveshnikov,Evgenia Zhuravleva,Russian Federation,Youth,Alexey_Sveshnikov-2d59274e-eb19-4de8-8cf1-a4330179c70b
Fiete Heinrich,Marina Pitesa,Germany,Adult,Fiete_Heinrich-e8984c89-f42d-414a-ac0b-9fcd0043679d
Joel Zupan,Sarah Conrad,Germany,Adult,Joel_Zupan-c182816d-8bb8-430b-98e0-a0c700437ba4
Ilya Pshonka,Uladzislava Starykava,Belarus,Youth,Ilya_Pshonka-28217e7b-60b8-4a74-907f-a17600927b03
Danila Cherneev,Arina Iliukhina,Russian Federation,Youth,Danila_Cherneev-079efaba-7505-4596-942e-a181010c1da2
Roman Zhemchugov,Arina Fedorova,Russian Federation,Youth,Roman_Zhemchugov-caf2eb57-f819-4167-b5da-a181010c196e
Dmitry Beliakov,Sofia Savelieva,Russian Federation,Youth,Dmitry_Beliakov-baaa915c-f496-4238-9cc8-a181010c1965
Valery Fishov,Julia Pimenova,Russian Federation,Youth,Valery_Fishov-7992c496-7d3d-4127-9d87-a1ef01072991
Georgy Nosov,Alexandra Filaretova,Russian Federation,Youth,Georgy_Nosov-4a2a4978-5305-45da-983b-a27b017b2303
Danil Tishchenko,Daria Doroginskaya,Russian Federation,Adult,Danil_Tishchenko-8a7ceb38-7d94-422b-8ac3-9ecb0042d89e
Anton Sokolov,Alesia Dubovskaya,Russian Federation,Adult,Anton_Sokolov-c4503099-d978-42a4-9d40-9e5400536f25
Ekkaphong Wittchow,Violetta Suppes,Germany,Adult,Ekkaphong_Wittchow-e9afba59-d75b-422e-ade8-9e14015a3c9e
Semen Kokuev,Elena Labzina,Russian Federation,Adult,Semen_Kokuev-e6ecf6cb-29d0-4d51-8581-9e140132ad58
Alexandr Gruzdev,Daria Korobkova,Russian Federation,Adult,Alexandr_Gruzdev-4df4dedd-2f38-4825-8160-9e140121a2b7
Dominador Ylagan,Maria Lourdes Dy Buncio,Philippines,Senior I,Dominador_Ylagan-2c417eba-728c-421b-855b-9e14015c645e
Daniil Vesnovskiy,Emily Thorpe,United States,Adult,Daniil_Vesnovskiy-6ee84c32-21e4-4837-8687-9e1401594af5
Keit Vaher,Katerina Maijorova,Estonia,Youth,Keit_Vaher-81239edb-24e6-4ec3-9d0d-a25700aa846b
Jose Comoda,Emily dela Cruz,United States,Senior II,Jose_Comoda-0fdccbed-1cbc-4a3c-8c9e-a5d10018a900
Mario Tira,Teresina Avisani,Italy,Senior III,Mario_Tira-8271639a-6182-4d78-901a-a54600c0cefe
Alexandr Naumov,Maria Magomedova,Russian Federation,Junior I,Alexandr_Naumov-ef7ea7b0-7765-4bc2-aed4-a5d300b22e51
Vladimir Pozhilykh,Alisa Gaydarly,Russian Federation,Junior I,Vladimir_Pozhilykh-87bd2c24-9ebb-4f03-8308-a5d300b32e85
Stepan Rukosuev,Anastasia Narbutik,Russian Federation,Junior I,Stepan_Rukosuev-2101321a-17e7-42fc-9c3b-a5d300b49490
Stanislav Machkarin,Daria Cherkashina,Russian Federation,Youth,Stanislav_Machkarin-d633d3d3-5734-4a6c-a165-a5d300d8f2e5
Alexey Vorobiev,Polina Solenova,Russian Federation,Youth,Alexey_Vorobiev-5103911f-fcec-460a-97b4-a5d300db72dd
Lev Khramkov,Arina Tivolt,Russian Federation,Junior I,Lev_Khramkov-81dc9e4f-78ba-4e5d-aa85-a5d300e3f1c4
Danil Fedorov,Polina Solovieva,Russian Federation,Junior I,Danil_Fedorov-2f561c74-f906-4f9c-ab4c-a5d300e48fcf
Alexandr Deviatov,Daria Mordanova,Russian Federation,Junior I,Alexandr_Deviatov-7d43c845-d4ff-49db-91cb-a5d300e66045
Evgeniy Kotov,Anna Kuznetsova,Russian Federation,Junior I,Evgeniy_Kotov-da408e9e-fd91-4298-b1b9-a5d300ec1eac
Andrey Shustov,Ksenia Sapytskaya,Russian Federation,Junior I,Andrey_Shustov-caa4ce99-57fa-4fd7-b649-a5d300ed99b2
Egor Medvedev,Polina Kondratenko,Russian Federation,Junior I,Egor_Medvedev-648f1ef3-3a7f-493b-9482-a5d300ef22fc
Artem Krylov,Darya Kolesnik,Russian Federation,Junior I,Artem_Krylov-0004739f-3ada-489d-9642-a5d300f12a39
Evgeny Iskandarov,Kaleria Efimenko,Russian Federation,Junior I,Evgeny_Iskandarov-067407b5-3b8f-4fdc-b0aa-a5d300f37c9c
Alexander Korostelev,Anastasiya Makatun,Belarus,Junior I,Alexander_Korostelev-307cad30-4a5d-4ffd-bc74-a5d30102ccfe
Uladzislau Krukouski,Kseniya Kurylina,Belarus,Junior I,Uladzislau_Krukouski-3e084090-5b35-45f3-b9c9-a5d30106e202
Pavel Kalbaska,Polina Kaborda,Belarus,Junior I,Pavel_Kalbaska-f4648f4c-6e64-4d8b-9eca-a5d3010d5359
Kranauskas Haroldas,Gabriele Bartkute,Lithuania,Junior II,Kranauskas_Haroldas-7201e57c-c221-4742-8fd2-a5d200d5b7ab
Botond Bodis,Flamina Hanna Kiss,Hungary,Juvenile I,Botond_Bodis-5bd68aad-973a-4977-bee0-a5d200f42c10
Janos Bartek,Daniella Mezosi,Hungary,Adult,Janos_Bartek-0c07351a-0f50-43bb-922b-a4de011b7fcf
Egor Sokolov,Anastasia Sorokina,Russian Federation,Junior I,Egor_Sokolov-c05753fa-c5cf-4fbd-b16a-a44900db1ca6
Nikolay Streltsov,Anastasia Verina,Russian Federation,Youth,Nikolay_Streltsov-3091a172-22d7-4bed-a638-a3ef01120491
Nikita Kargin,Adelia Tubova,Russian Federation,Youth,Nikita_Kargin-8b37f686-7157-4e97-8855-a3b10015fc5d
Alexey Tikhonov,Aelina Gabdrakhmanova,Russian Federation,Youth,Alexey_Tikhonov-68842155-ee5d-473c-a4d3-a3b10016b1d8
Sergey Spau,Polina Sapozhnikova,Russian Federation,Junior II,Sergey_Spau-a31c92c5-48f9-43fd-a7a6-a3b100075f6b
Michael Rubezin,Nicole Vujanic,Canada,Adult,Michael_Rubezin-da5f0ffe-99a0-4f9c-bc0b-a2ee01861f84
Artem Astafiev,Anastasia Kudriashova,Russian Federation,Junior I,Artem_Astafiev-3f74f788-d58c-4fc1-acf0-a2d8017fd0a8
Dmitry Verakhin,Sofia Lobanova,Russian Federation,Junior I,Dmitry_Verakhin-2b7e16ae-7abe-4080-9fc2-a1e2013b03ac
Pavel Kozhanov,Elena Kaplia,Russian Federation,Youth,Pavel_Kozhanov-073b851c-3365-4503-ba0d-a243011fe217
Alexandr Goriakin,Yana Chaplygina,Russian Federation,Youth,Alexandr_Goriakin-a6a7d2f2-558f-4480-bb46-a181010c1b13
Pavel Solomykin,Anastasia Odintsova,Russian Federation,Youth,Pavel_Solomykin-871e8d39-27db-4ca0-9631-a181010c083f
Sergey Zadorozhny,Anastasia Krivonos,Russian Federation,Adult,Sergey_Zadorozhny-4f9dab0a-5f4d-4352-804d-9e140159ca3c
Jaroslav Novak,Ekaterina Lebedeva,Czech Republic,Adult,Jaroslav_Novak-6ca24d03-7033-448a-a27d-9e9c0042dc94
Mikhail Dezhurov,Maria Meshkova,Russian Federation,Adult,Mikhail_Dezhurov-edc397bf-5345-4b28-bb6e-9efe0044c2ae
Roberto Garzo,Giulia Zanlorenzi,Switzerland,Adult,Roberto_Garzo-88a597de-5d07-457b-a53d-9e1401296931
Piotr Paszewski,Marta Mozdyniewicz,Poland,Adult,Piotr_Paszewski-41a0cbbc-7dbd-4b70-ab9f-9e14012afacc
Evgeny Kuznetsov,Ekaterina Polevtsova,Russian Federation,Adult,Evgeny_Kuznetsov-69c1aed5-e4b2-41e9-8ebe-9e14012e530a
Karol Wielogorski,Marta Jagielska,Poland,Adult,Karol_Wielogorski-b89e0af3-ec53-463c-afba-9f680044948e
Petko Milev,Mirela Zhelezova,Bulgaria,Adult,Petko_Milev-c91ec354-0a41-4f2a-9950-9e5100533770
Robert Poklitar,Anastasiia Darchuk,Ukraine,Adult,Robert_Poklitar-15184b85-3446-44bf-87da-9e4000e3bdbe
Maxim Antropov,Maria Ustroeva,Russian Federation,Youth,Maxim_Antropov-2a73ead3-31d9-4483-8bc3-a181010c1818
Viktor Kolokolov,Anna Stoianova,Ukraine,Adult,Viktor_Kolokolov-fa26d314-93d2-44aa-8551-a1ac00ed9bb8
Ilya Vaulin,Sofia Samorokova,Russian Federation,Junior I,Ilya_Vaulin-f588f0d5-6f26-4cbb-bc46-a1e2014482e5
Garabed Ovanezov,Sofia Mihova,Bulgaria,Adult,Garabed_Ovanezov-24b0abd7-d147-4b08-b818-a16e0089d3b3
Georgi Dimitrov,Viktoria Spasova,Bulgaria,Youth,Georgi_Dimitrov-a8c6ae94-3aaa-46fa-91b3-a16e0088ca33
Daniel Romaikin,Fang Chen,United States,Adult,Daniel_Romaikin-091aacd9-4850-43eb-8e00-a0f100437ed4
Semen Kokovin,Polina Akimova,Russian Federation,Youth,Semen_Kokovin-34d478e7-a985-429d-8e62-a3f00107139a
Sergey Perevertkin,Alisia Shchekoldina,Russian Federation,Junior I,Sergey_Perevertkin-d73cd921-3365-4470-b744-a4c100e9427d
Artem Sveshnikov,Renata Kamalova,Russian Federation,Youth,Artem_Sveshnikov-29dde89b-eea5-4b4c-a267-a46900a2d021
Danylo Krasutskyi,Yuliya Polyhach,Ukraine,Adult,Danylo_Krasutskyi-2a110b9e-ec9f-46c6-b9ff-a5d4016fa57e
Maksym Kuksinskyi,Yevheniia Edisherashvili,Ukraine,Adult,Maksym_Kuksinskyi-ef8c7a81-610c-4904-ae9a-a5d401765e7e
Vitaly Periatin,Ksenia Kotova,Russian Federation,Youth,Vitaly_Periatin-86e94dd1-9311-46df-b4f2-a5d400df3785
Anton Bocharov,Daria Pasternak,Russian Federation,Youth,Anton_Bocharov-22348199-9f0a-4267-ba10-a5d400e774a9
Evgeny Bodiaev,Kristina Mironova,Russian Federation,Junior I,Evgeny_Bodiaev-52353155-f1f8-48c4-98aa-a5d401021773
Maxim Perestoronin,Arina Fedotova,Russian Federation,Juvenile II,Maxim_Perestoronin-d07850ef-26d5-40dc-bef4-a5d401043021
Andrey Novikov,Ekaterina Polomarchuk,Russian Federation,Junior I,Andrey_Novikov-20eec5b1-d552-4550-a1c3-a5d401052b53
Ambarish Roy,Anna Sheedy,United States,Adult,Ambarish_Roy-fc134256-f769-4a9f-a9f7-a5cc000fb3e0
Alexey Yakimov,Valentina Nepchelina,Russian Federation,Youth,Alexey_Yakimov-d774fb90-bf01-4932-815a-a5d500ed56d0
Yaroslav Maximov,Anna Petrenko,Russian Federation,Junior II,Yaroslav_Maximov-5d621e0b-f20a-4f53-b638-a5d5011e4b2b
Yaroslav Bovarov,Anastasia Egorova,Russian Federation,Junior II,Yaroslav_Bovarov-eb1a6673-4b8e-4bfd-aade-a5d5011fe84f
Nikita Beresnev,Valeria Koroleva,Russian Federation,Junior II,Nikita_Beresnev-2221fdd4-b878-471f-940e-a5d50121ecf6
Igor Vagin,Alena Barilova,Russian Federation,Junior II,Igor_Vagin-42974921-8bb8-4a54-856c-a5d501246c55
Maxim Deriugin,Varvara Alexandrova,Russian Federation,Junior II,Maxim_Deriugin-238794c0-4b88-4497-baa4-a5d5012dc6f7
Timur Shishkin,Sofia Turishcheva,Russian Federation,Junior II,Timur_Shishkin-2241ef89-b134-41c6-837e-a5d501328a82
Andrey Enikeev,Kristina Enikeeva,Russian Federation,Junior II,Andrey_Enikeev-bfec42ee-a3f5-4edf-90df-a5d50138f902
Vsevolod Shagaev,Veronika Kioroglo,Russian Federation,Junior II,Vsevolod_Shagaev-741e6328-cc37-41c4-82c0-a2d7017d5eb6
Ilia Zidan,Maria Belikova,Russian Federation,Youth,Ilia_Zidan-3010c49e-876e-4c0c-beba-a33b00dd781b
Dmitry Smorchkov,Daria Pichugina,Russian Federation,Junior II,Dmitry_Smorchkov-c207568f-5b69-4dfb-8481-a181010c01f5
Arseny Belov,Polina Rachkova,Russian Federation,Junior II,Arseny_Belov-12fd9ef2-194e-4ce9-8e7a-a181010c052c
Georgy Grushevsky,Julia Savenkova,Russian Federation,Junior II,Georgy_Grushevsky-52ea7dc7-dc7f-450b-9df8-a1fd00c026d7
Daniil Korzinin,Anna Krivatkina,Russian Federation,Junior II,Daniil_Korzinin-73282d74-16c7-4c5e-8478-a25800bfe3ad
Ilya Grankin,Natalia Kurakina,Russian Federation,Junior II,Ilya_Grankin-fc9fe366-8818-4017-a275-a181010c1b96
Roman Mishurov,Maria Mezhennaya,Russian Federation,Junior II,Roman_Mishurov-28aee137-260e-4025-9f4f-a181010c1d53
Anton Petanov,Ekaterina Oleynik,Russian Federation,Adult,Anton_Petanov-a2df0a88-5d87-417d-b1ce-a181010c064a
Vitaly Ryzhukhin,Zinaida Larshina,Russian Federation,Adult,Vitaly_Ryzhukhin-3033b8de-861f-4cbc-b0a7-9e14015b8cff
Vladislav Skirdachev,Anna Tishchenko,Russian Federation,Adult,Vladislav_Skirdachev-4fc5e124-f16d-4524-b596-9e140134c733
Konstantin Kondrakhin,Anna Basiuk,Russian Federation,Adult,Konstantin_Kondrakhin-4f856146-e741-45e0-b7cf-9e140132e26f
Oleg Trifonov,Regina Gisatullina,Russian Federation,Senior I,Oleg_Trifonov-bca3f4b3-9810-403b-81c9-9e140133061e
Roman Gerasimov,Sofia Kardash,Russian Federation,Adult,Roman_Gerasimov-a2bce0b6-b5df-4761-83cc-9e1401290bbc
Eduard Yunets,Anastasia Davydova,Russian Federation,Adult,Eduard_Yunets-67d20903-106a-4d17-8b63-9e140120cefb
Evgeny Kunaev,Ksenia Kunaeva,Russian Federation,Adult,Evgeny_Kunaev-11420b88-cc39-406e-b2b4-9e14012ecb7a
Petr Lobyntsev,Alexandra Shkodkina,Russian Federation,Youth,Petr_Lobyntsev-3d13180b-c1e3-48fa-bb7d-a181010c1762
Martin Kyuchukov,Katerina Miteva,Bulgaria,Youth,Martin_Kyuchukov-323d6245-0502-4635-b6a1-a18a00e6af0f
Maxim Panarin,Alina Gavrilova,Russian Federation,Junior II,Maxim_Panarin-7931ceb8-c935-4d15-80d1-a181010c1eef
Roman Vlasov,Valeria Kolesnikova,Russian Federation,Adult,Roman_Vlasov-e14fca7f-8deb-417d-bbdb-a1d000e88a89
Zakhar Shibakin,Angelina Shevyakova,Russian Federation,Junior II,Zakhar_Shibakin-76646455-0532-471c-b21f-a181010c01cb
Artem Alifanov,Polina Shipiguzova,Russian Federation,Adult,Artem_Alifanov-c021816f-d324-4546-ae91-a10900a059fa
Evgeny Kocherov,Anastasia Koniukhova,Russian Federation,Adult,Evgeny_Kocherov-c8d0668d-efcd-443b-a69c-9fb100440591
Yan Tereshkov,Diana Gritsaenko,Russian Federation,Junior II,Yan_Tereshkov-28069199-9645-46df-a0f7-a5d6005d4027
Kirill Shchelkunov,Alexandra Chuchupal,Russian Federation,Junior II,Kirill_Shchelkunov-90fcc772-8ace-4d4f-a7fc-a5d60061a7ad
Andrey Zakharov,Anna Kirichok,Russian Federation,Junior II,Andrey_Zakharov-1c057318-b9a5-49d7-b18b-a5d600666921
Ilya Sukharev,Sofia Shkiria,Russian Federation,Junior II,Ilya_Sukharev-6e051944-6ce6-4fa3-8cd0-a5d60067a12c
Danila Baboshko,Varvara Pashkina,Russian Federation,Junior I,Danila_Baboshko-ef280e6d-4cb4-4b38-b736-a5d60068ab8b
Alexey Kliuvitkin,Maria Rozhkova,Russian Federation,Junior II,Alexey_Kliuvitkin-cdba7007-fbb7-419a-b623-a5d600e5de65
Dmitry Sergeev,Maria Kalinchenko,Russian Federation,Junior II,Dmitry_Sergeev-47688e85-6036-40b9-b8a7-a5d600e7b581
Nikita Menshov,Daria Pivsaeva,Russian Federation,Junior II,Nikita_Menshov-8d2781ba-4f4e-4d8b-bd05-a5d600ea0c78
Vladimir Ivanov,Anastasia Muliukina,Russian Federation,Junior I,Vladimir_Ivanov-1bfa8549-c78b-41b7-9246-a5d600ed4b98
Boyan Karliev,Angelina Djenkova,Bulgaria,Youth,Boyan_Karliev-ab734901-bc7d-4f49-8742-a5d70085c80a
Traian Marcel Oporanu,Florina Claudia Oporanu,Romania,Senior I,Traian_Marcel_Oporanu-644a7ded-66ac-4496-99a7-a5d7010dc913
Mihut Bogdan,Samson Cezara,Romania,Youth,Mihut_Bogdan-e5b7c139-bddf-4918-b17e-a5d7011dac64
Costin Gurgu,Andreea Lefter,Romania,Youth,Costin_Gurgu-fbca1daa-8103-4c31-95b8-a5d7011ebf35
Ciucu Stefan - Bogdan,Iliescu Maria Bianca,Romania,Juvenile I,Ciucu_Stefan_-_Bogdan-a8779889-1264-4659-9a3d-a5d7011f592f
Cosniceanu Cosmin,Lesovschi Ilinca,Romania,Junior II,Cosniceanu_Cosmin-1a66d323-4e33-4c9e-beb4-a5d70120e0af
Andrei Tatar,Roxana-Nicoleta Burca,Romania,Youth,Andrei_Tatar-cb6301a0-d0c0-4ebd-b1e9-a5d701218cef
Lucian Catalin Cretu,Andreea Rikarda Stoican,Romania,Junior II,Lucian_Catalin_Cretu-624c7410-e51a-4755-99ca-a5d70122809c
Adrian Cosmin Anin,Andreea Simona Popescu,Romania,Youth,Adrian_Cosmin_Anin-eca6f67c-d0d2-4abe-a42f-a5d701235e01
Mircea Constantin Oanes,Gogu Elena,Romania,Adult,Mircea_Constantin_Oanes-363d5805-7d55-42cd-aae2-9fb1004402ad
Kalin Petrov,Tihomira Popova,Bulgaria,Youth,Kalin_Petrov-2bf43a35-b9f8-4e0f-84b4-a18000c217c8
Nikolay Ribin,Yordanka Georgieva,Bulgaria,Adult,Nikolay_Ribin-eb770d53-d8f4-482d-90ca-9e1401607bd1
Nikolay Andrushchenko,Ksenia Zaputriaeva,Russian Federation,Adult,Nikolay_Andrushchenko-6e70f520-a28c-485e-bab9-9e140124a8b6
Antoan Lyamov,Anna-Maria Jecheva,Bulgaria,Junior II,Antoan_Lyamov-3d4566fc-e1d3-45a1-af15-a16000ad0455
Francesco Baldelli,Desislava Trifonova,Bulgaria,Youth,Francesco_Baldelli-3a281d57-ad73-424f-b288-a1aa00dfc844
Denis Sokol,Arina Bogdanovich,Russian Federation,Junior I,Denis_Sokol-42f25255-7949-4b6e-819e-a181010c0d8c
Dmitry Morozov,Zlata Tsybakova,Russian Federation,Adult,Dmitry_Morozov-b8cf1301-04cf-476a-b80e-a181010c12ec
Ivan Smirnov,Sofia Pinaeva,Russian Federation,Junior II,Ivan_Smirnov-894b2645-f2a0-4ec1-87ac-a2580139634a
Tudor - Gabriel Ivan,Andreea - Irina Toporan,Romania,Junior I,Tudor_-_Gabriel_Ivan-8a0b056f-d1fe-4232-8634-a23d00c0965f
Gabriel Adrian Neaga,Andreea Grecu,Romania,Youth,Gabriel_Adrian_Neaga-04c98692-46b3-48e4-93b5-a5d800dcb5f0
Pavel Cristian,Coman Paraschiva,Romania,Senior II,Pavel_Cristian-2b0f7f02-3ddc-4d49-94c3-a5d800ddf80a
Roman Solovev,Maria Lakhey,Russian Federation,Junior II,Roman_Solovev-5e4ee04f-fd14-4025-9192-a5d800f8807e
Ivan Grents,Eva Printsman,Russian Federation,Junior II,Ivan_Grents-009cf85d-7716-4916-bf91-a5d800f97216
Vladislav Tatarinov,Polina Sidenkova,Russian Federation,Junior II,Vladislav_Tatarinov-1b15ceeb-306a-4e2f-a8a0-a5d800f9d571
Egor Yurin,Olga Zakharova,Russian Federation,Junior II,Egor_Yurin-35625a88-8619-4f8a-8c5e-a5d800fa4100
Ivan Korotaev,Alina Skukina,Russian Federation,Junior II,Ivan_Korotaev-54d11405-8c04-43d9-b209-a5d800fb6f8e
Egor Altukhov,Maria Loshmanova,Russian Federation,Junior I,Egor_Altukhov-86aa4ada-4ed4-425c-ab93-a5d800fe4195
Kirill Kolesnik,Ekaterina Karaseva,Russian Federation,Youth,Kirill_Kolesnik-40eb633b-822d-496f-9d5c-a5d80103b858
Artem Savitsky,Valeria Siniukova,Russian Federation,Junior I,Artem_Savitsky-17111c44-5998-4d79-9a3d-a5d8010b4aed
Vladislav Nikiforov,Yana Lazutina,Russian Federation,Youth,Vladislav_Nikiforov-179d120d-3386-4a78-83c0-a5d801117fce
Sergey Sergeev,Eva Sviridova,Russian Federation,Junior I,Sergey_Sergeev-14d9a9ac-e6f7-4d20-9f6b-a5d801121cc4
Daniil Navoev,Veronika Popova,Russian Federation,Junior II,Daniil_Navoev-3804d8fd-892f-4a19-ba40-a5d801129483
Albert Markovchuk,Anna Markovchuk,Russian Federation,Senior I,Albert_Markovchuk-af67a355-83fa-4a18-9e8a-a5d80116b26e
Deni Bakaev,Karolina Oleniuk,Russian Federation,Junior I,Deni_Bakaev-c7cbbed6-7249-4767-ac0c-a5d801173cc6
Alessio Dennis Vedda,Brigida La Mantia,Italy,Junior II,Alessio_Dennis_Vedda-34525222-35e4-438a-8363-a5d200bc636f
Andrei Dragu,Andra-Maria Scarlat,Romania,Youth,Andrei_Dragu-62c73a00-9d80-4cb3-ac2c-a5d101160af7
Nino Djordjevic,Ana Gedl,Slovenia,Junior II,Nino_Djordjevic-17b7102a-7b6f-46a8-b372-a5d1010f6c02
Stefan-Ionut Badin,Maria Cam,Romania,Youth,Stefan-Ionut_Badin-5e9f2da6-49f7-40d7-a689-a55b0125817f
Gal Pohar,Ana Juznic,Slovenia,Junior II,Gal_Pohar-83a3ce1c-aea3-427e-8916-a5550090480e
Savely Diakov,Victoria Diakova,Russian Federation,Junior II,Savely_Diakov-0c3a8764-8c58-478d-88e7-a532017a332c
Konstantin Smerdov,Aleksandra Evnevich,Russian Federation,Junior II,Konstantin_Smerdov-e778e58a-4f77-4fc4-828b-a51d006986b3
Mikhail Nikolaev,Polina Norkina,Russian Federation,Youth,Mikhail_Nikolaev-3ca2bd5d-9345-4922-972f-a34c017d74a9
Igor Zhabrev,Elena Strelkova,Russian Federation,Adult,Igor_Zhabrev-cd36088a-53bf-4340-80ee-a31500123930
Vladislav Kniazev,Maria Shachneva,Russian Federation,Youth,Vladislav_Kniazev-528e4260-dadb-4736-8409-a3ef0111d9ce
Cosmin Paraschiv,Daria-Despina Posirca,Romania,Youth,Cosmin_Paraschiv-150bb0aa-6ca2-4044-8cfe-a3ae012fdaca
Andrey Sinitsky,Elizaveta Votina,Russian Federation,Adult,Andrey_Sinitsky-0b78ba9a-6bc3-4bfb-86db-a3c800618b97
ivan Salvatore Amato,Maria Parlapiano,Italy,Youth,ivan_Salvatore_Amato-19c3c5af-c9d5-4546-844a-a53100c30ea2
Christian Gruenke,Liana Schaefer,Germany,Juvenile II,Christian_Gruenke-b0edb4c4-963e-45aa-8586-a48f00bab30f
Roven Zirul,Laura-Lotta Kartsep,Estonia,Junior I,Roven_Zirul-3a3d2742-3d2a-40bc-864f-a54b0160b50a
Antony Mizzi,Julia Florenca,Australia,Junior II,Antony_Mizzi-59fa0dbb-a9d5-49c2-8a7b-a5d2004e3da7
Benedetto Seminara,Maria Andronico,Italy,Senior IV,Benedetto_Seminara-9135384e-3cf6-4a91-afdb-a5d200b81ed0
Lance Yasinsky,Annabelle Vinokur,United States,Youth,Lance_Yasinsky-a1eb92ba-6109-4d5c-92db-a5d401504d10
Hendradjaja Husin,Megajanti Husin-Suwito,Netherlands,Senior II,Hendradjaja_Husin-22f4bd4d-0694-4ba1-85a9-a5d800be31c9
Daniel Petzold,Natalie Fuss,Germany,Senior I,Daniel_Petzold-38e66468-ffaa-4bee-98f5-a5d900c23836
Leo van Dorsten,Hellen van Dorsten-Rommers,Netherlands,Senior III,Leo_van_Dorsten-86c84a7c-94c7-4fb9-a539-a5d900c3adb1
Jernej Birk,Mija Kramar,Slovenia,Junior II,Jernej_Birk-cee628b7-22dd-4c9f-aaae-a5d900c75b2b
Antonio Chisari,Ornella Strano,Italy,Senior II,Antonio_Chisari-bdb14440-b5b6-459e-aaf5-a5d900e794d0
Valery Grushin,Olga Grushina,Russian Federation,Senior III,Valery_Grushin-42be46d6-2659-4286-8dbc-a5d9010f5942
Sergey Maltsev,Olga Kolesnikova,Russian Federation,Senior II,Sergey_Maltsev-3712aca3-a7be-4da8-85aa-a5d901103cd9
Maxim Proskurin,Victoria Vorontsova,Russian Federation,Junior II,Maxim_Proskurin-f817692d-3fe1-4f4f-acbc-a5d90112908e
Adam Larin,Maya Larina,Russian Federation,Youth,Adam_Larin-c28238cf-302a-4588-884a-a181010c1e75
Sandu Lupusor,Diana Vildeaeva,Moldova,Youth,Sandu_Lupusor-cccb233e-a7cd-42db-bc85-a1ac012c89e7
Filip Pelko,Patricia Herceg,Croatia,Youth,Filip_Pelko-f9463ef6-40c1-45c0-8070-a18000e83fce
Ovsep Gabrielian,Valeria Kurenkova,Russian Federation,Adult,Ovsep_Gabrielian-57c74387-7160-4011-8735-a10900a05a74
Tolgay Tarimoglu,Duygu Akalin,Turkey,Adult,Tolgay_Tarimoglu-6827c7ca-2056-4121-89b6-9f830043a5f4
Hermann Wessner,Anastasia Lamanova,Germany,Youth,Hermann_Wessner-16d96d87-3abb-42f2-b45f-a07500440755
Livio Duzic,Marta Novak,Croatia,Adult,Livio_Duzic-a0ab5585-b763-418f-bd07-a1030043bade
Igor Zaytsev,Elizaveta Bobrova,Russian Federation,Adult,Igor_Zaytsev-ba0e7a4b-ea5d-457c-bb74-a07b0043b7ea
